# Original memory stories. Format: kanji | picture cues | scene title | story
# These are imaginative study aids, not historical etymologies or reading explanations.
# Lesson 0
油|💧 🛢️|Oil from the source|Liquid drops stand beside a source-like box. Imagine oil dripping out of a container.
汚|💧 🧽|Dirty rinse water|Water stands beside a sagging, hooked shape. Imagine a rag dripping dirty water after cleaning.
幸|🍀 🎁|Gift of happiness|A small stand sits over a neatly crossed package. Imagine opening it to find pure happiness.
寺|🟫 ✋|Temple on cared-for land|Soil sits above a careful hand. Imagine hands tending the grounds of a Buddhist temple.
# Lesson 36
畑|🔥 🌾|Field after clearing|Fire stands beside a field. Imagine clearing a patch, then planting your farm there.
灯|🔥 🪧|Flame on a post|Fire stands beside a nail-like post. Mount the flame there to make a lamp.
焼|🔥 🥖|Bake above the flames|Fire stands beside a raised rack-like shape. Put dough on the rack and bake it.
完|🏠 ✅|Finished roof|A roof sits above an origin-like base. From foundation to roof, everything is complete and perfect.
実|🏠 📦|Truth beneath the roof|A roof covers tightly packed strokes. Open the house and find what is really inside: the truth.
仲|🧍 🎯|Person in the middle|A person stands beside middle. They step between friends to act as the go-between.
停|🧍 🏛️|Stop at the pavilion|A person reaches a tall roofed shape. Halt there and take a moment to rest.
司|📋 👄|Director's instructions|A hooked frame shelters a line and a mouth. Imagine a director speaking from a small office.
笑|🎋 😄|Bamboo giggles|Bamboo bends above a spreading figure. Imagine the stalks tickling someone until they laugh.
成|🛠️ 🏆|Work becomes achievement|A strong diagonal encloses a hooked working shape. Keep shaping it until it becomes something complete.
包|🎁 🌀|Wrap the curled gift|A long curved stroke wraps around a small curled shape. Fold the wrapping over the gift.
各|👣 👄|Each traveler speaks|A step-like shape arrives above a mouth. Each arriving traveler says their name.
岩|⛰️ 🪨|Mountain stone|A mountain sits above a stone. Imagine a huge boulder that has rolled down from the mountain.
破|🪨 🪓|Stone cracks the surface|A stone stands beside a skin-like surface. Strike the surface with the stone and break it.
静|🔵 🤫|Calm the argument|Blue stands beside a struggling shape. Imagine cooling an argument until everyone becomes quiet.
晴|☀️ 🔵|Sun in blue skies|The sun stands beside blue. Rain ends, clouds part, and the sky clears up.
# Lesson 37
欠|😮 🫁|Missing breath|A tilted top opens above two spreading strokes. Imagine someone yawning because they lack enough air.
的|⬜ 🎯|White target|White stands beside a hooked shape with a dot. Aim at the little mark on the target.
伺|🧍 🗣️|Visitor asks politely|A person stands beside an official speaking shape. They visit the office and politely ask a question.
喜|🥁 😄|Joyful drum|A decorated stand rises over a mouth. Imagine a drum sounding while everyone rejoices and cheers.
触|🐐 🐛|Horn touches an insect|A horn stands beside an insect. Picture the tiny moment when the insect touches its tip.
鉄|🪙 🧲|Iron pulls it back|Metal stands beside lose. Imagine a lost iron nail being pulled back by a magnet.
塩|🟫 🧂|Salt in the dish|Soil stands beside a small top over a dish. Imagine collecting salt crystals in that shallow dish.
秒|🌾 ⏱️|A few falling grains|Grain stands beside few. Only a few grains fall through the timer in one second.
種|🌾 ⚖️|Heavy seed|Grain stands beside heavy. Imagine one seed so heavy you know it will grow into a giant plant.
積|🌾 📚|Harvest piled up|Grain stands beside a loaded, treasure-like stack. Keep adding harvest bundles until they form a pile.
香|🌾 ☀️|Warm grain's scent|Grain sits above a sun. As it warms, a delicious smell rises into the air.
委|🌾 👩|Harvest committee|Grain sits above a woman. Picture her chairing a committee that decides how to share the harvest.
命|🏠 📜|Life's message|A roof shelters a mouth and a sealed-looking shape. Imagine receiving a message about your life's calling.
令|🏠 📣|Order from above|A pointed roof covers a small hooked command. Imagine an order being announced from under that roof.
固|🧱 📜|Old thing sealed in|A boundary encloses old. Imagine something sealed so long inside that it has hardened solid.
囲|🧱 #️⃣|Well surrounded|A square boundary surrounds a crossed well-like shape. Walk around the wall enclosing it.
# Lesson 38
類|🍚 🐕|Sort by kind|Rice and a big animal-like shape stand beside a head. Think carefully and sort everything by kind.
助|🧱 💪|Help lift the stack|A stack stands beside strength. Lend your strength to help lift it.
追|🏃 🛣️|Chase down the path|A stacked marker races along a road. Run after it before it gets away.
得|🚶 🪙|Gain from the journey|A walker stands beside a sunny, hand-like arrangement. Imagine gaining a small reward from every journey.
礼|🙏 🎩|Polite bow|A sacred marker stands beside a bending hook. Picture someone bending politely in greeting.
貝|🐚|Shell on the shore|A ridged box has two little feet below. Imagine a shellfish peeking out of its shell.
貯|🐚 🏠|Savings under the roof|A valuable shell stands beside a roof and a peg. Hang a savings pouch safely there.
差|🐑 📏|Spot the difference|A sheep-like top rests above an I-shaped measure. Compare two fleeces and measure the difference.
型|🛠️ 🟫|Mold in the ground|Cutting, framework-like strokes sit above soil. Press the model into clay to make a mold.
整|📦 📏|Put everything straight|A bundle and a working hand sit above correct. Organize every item until the arrangement is right.
船|🛶 👄|Boat with a cabin|A long boat-shaped side stands beside a small cabin opening. Step aboard the ship.
周|🧱 🚶|Walk all around|An outer frame curves around a ground-and-mouth shape. Walk its whole circumference and inspect the surroundings.
願|💧 👤|Wish at the spring|A source-like shape stands beside a head. Bow your head at the spring and make a wish.
毛|🪶|Soft curling fur|Short strands cross a long curling stroke. Imagine stroking a soft tuft of fur.
羽|🪽 🪽|Paired feathers|Two matching wing-like halves hold little marks. Picture the feathers spreading on both wings.
胃|🍚 🫃|Food in the stomach|A field-like box sits above a body-shaped base. Imagine rice settling into your stomach below.
# Lesson 39
順|🌊 👤|Follow the flow|A river stands beside a head. Keep your head following the current in the proper order.
訓|🗣️ 🌊|Instructions flow|Words stand beside a river. Follow the teacher's instructions as they flow one after another.
印|✋ 🖋️|Press the seal|A bent hand-like shape faces a tall stamp-like edge. Press them together to leave a seal.
刷|🏠 🔪|Print from a carved block|A covered cloth-like shape stands beside a blade. Carve a block, ink it, and print copies.
絶|🧵 ✂️|Thread ends here|Thread stands beside a colored, curling shape. Snip the thread so the connection ends completely.
対|🗣️ ✋|Facing opposite|A writing-like shape faces a hand-like shape. Picture two people standing directly opposite each other.
希|✨ 🧣|Hope in a patch of cloth|Crossing marks sit above cloth. Imagine sewing a tiny lucky star into it and hoping for success.
望|🌙 👑|Ambition under the moon|A disappearing shape and moon rest above a king. Imagine looking at the moon and wishing to rise higher.
報|🎁 📣|News delivered|A happy-looking stack stands beside a passing hand. Imagine handing over a report full of news.
告|🐄 👄|Cow makes an announcement|A cow-like top sits above a mouth. Imagine a cow loudly announcing the morning news.
史|📜 ✋|History in a hand|A mouth-shaped box crosses a long sweeping hand. Imagine holding the stories of history.
歴|⛰️ 🌳|Walk through the years|A shelter covers two tree-like shapes above a stopping foot. Imagine walking through a forest of past years.
冊|📚|Books tied together|Several slim uprights are joined by a line. Picture bound book spines lined up on a shelf.
個|🧍 📦|One individual box|A person stands beside a solid enclosed box. Give each individual their own box.
倍|🧍 🎭|Double the performer|A person stands beside a small stage-like shape. Imagine their double stepping onto the stage too.
束|🌳 🪢|Tied bundle of sticks|A box-like band wraps around a tree's center. Tie several sticks together into one bundle.
# Lesson 40
草|🌿 🌅|Grass in early light|Leaves grow above early. Imagine fresh grass sparkling in the early morning light.
粉|🍚 ✂️|Rice divided finely|Rice stands beside divide. Break it into smaller and smaller pieces until it becomes powder.
麦|🌾 👣|Harvest underfoot|A growing top sits above stepping strokes. Imagine walking through a field of ripe barley.
根|🌳 🪢|Tree's gripping roots|A tree stands beside a folded, gripping shape. Picture its roots curling tightly through the earth.
植|🌳 📏|Plant it straight|A tree stands beside straight. Hold the young tree upright as you plant it.
標|🌳 🎫|Ticket on a tree|A tree stands beside a ticket-like sign. Fasten a label to the trunk to make a signpost.
板|🌳 ↩️|Turn the wood over|A tree stands beside turn back. Saw a board from the tree, then flip it over.
械|🌳 ⚙️|Wooden mechanism|A tree stands beside interlocking, weapon-like strokes. Imagine wooden parts locking together into a machine.
役|🚶 📋|Walk to your duty|A walker stands beside a working hand-like shape. Go where your assigned duty needs you.
努|👩 💪|Effort gets stronger|A woman and hand sit above strength. Imagine helping hands working diligently with all their strength.
君|🖐️ 👄|Calling to you|A hand-like top sits above a mouth. Wave and call to someone: “You, over there!”
陽|⛰️ ☀️|Sunny hillside|A hillside-like edge stands beside a sun and slanting rays. Stand on the slope to enjoy the sunshine.
殺|🌳 ⚔️|Cutting ends the tree|A crossed tree-like shape stands beside a striking hand. Imagine a fatal cut ending the tree's life.
営|✨ 🏢|Busy business rooms|Sparks above a cover shelter two stacked rooms. Imagine lights staying on while the business operates.
害|🏠 ⚠️|Danger beneath the roof|Crossing bars press toward a mouth beneath a roof. Picture a dangerous beam that could cause harm.
鳴|👄 🐦|Bird opens its mouth|A mouth stands beside a bird. The bird opens its beak and chirps loudly.
